iteration= 0
(C, 0, 0, d, 0):X=[0]
(C, 0, 0, d, 25):stay=[0.0]
(C, 0, 0, d, 50):stay=[0.0]
(C, 0, 0, d, 75):stay=[0.0]
(C, 0, 0, d, 100):stay=[0.0]
(C, 0, 0, r, 0):X=[0]
(C, 0, 0, r, 25):stay=[-20.0]
(C, 0, 0, r, 50):stay=[-20.0]
(C, 0, 0, r, 75):stay=[-20.0]
(C, 0, 0, r, 100):stay=[-20.0]
(C, 0, 1, d, 0):X=[0]
(C, 0, 1, d, 25):sa=[15.0]
(C, 0, 1, d, 50):stay=[0.0]
(C, 0, 1, d, 75):stay=[0.0]
(C, 0, 1, d, 100):stay=[0.0]
(C, 0, 1, r, 0):X=[0]
(C, 0, 1, r, 25):sa=[-17.5]
(C, 0, 1, r, 50):stay=[-20.0]
(C, 0, 1, r, 75):stay=[-20.0]
(C, 0, 1, r, 100):stay=[-20.0]
(C, 0, 2, d, 0):X=[0]
(C, 0, 2, d, 25):sa=[15.0]
(C, 0, 2, d, 50):stay=[0.0]
(C, 0, 2, d, 75):stay=[0.0]
(C, 0, 2, d, 100):stay=[0.0]
(C, 0, 2, r, 0):X=[0]
(C, 0, 2, r, 25):sa=[-17.5]
(C, 0, 2, r, 50):stay=[-20.0]
(C, 0, 2, r, 75):stay=[-20.0]
(C, 0, 2, r, 100):stay=[-20.0]
(C, 0, 3, d, 0):X=[0]
(C, 0, 3, d, 25):sa=[15.0]
(C, 0, 3, d, 50):stay=[0.0]
(C, 0, 3, d, 75):stay=[0.0]
(C, 0, 3, d, 100):stay=[0.0]
(C, 0, 3, r, 0):X=[0]
(C, 0, 3, r, 25):sa=[-17.5]
(C, 0, 3, r, 50):stay=[-20.0]
(C, 0, 3, r, 75):stay=[-20.0]
(C, 0, 3, r, 100):stay=[-20.0]
(C, 1, 0, d, 0):X=[0]
(C, 1, 0, d, 25):stay=[0.0]
(C, 1, 0, d, 50):stay=[0.0]
(C, 1, 0, d, 75):stay=[0.0]
(C, 1, 0, d, 100):stay=[0.0]
(C, 1, 0, r, 0):X=[0]
(C, 1, 0, r, 25):stay=[-20.0]
(C, 1, 0, r, 50):stay=[-20.0]
(C, 1, 0, r, 75):stay=[-20.0]
(C, 1, 0, r, 100):stay=[-20.0]
(C, 1, 1, d, 0):X=[0]
(C, 1, 1, d, 25):sa=[15.0]
(C, 1, 1, d, 50):stay=[0.0]
(C, 1, 1, d, 75):stay=[0.0]
(C, 1, 1, d, 100):stay=[0.0]
(C, 1, 1, r, 0):X=[0]
(C, 1, 1, r, 25):sa=[-17.5]
(C, 1, 1, r, 50):stay=[-20.0]
(C, 1, 1, r, 75):stay=[-20.0]
(C, 1, 1, r, 100):stay=[-20.0]
(C, 1, 2, d, 0):X=[0]
(C, 1, 2, d, 25):sa=[15.0]
(C, 1, 2, d, 50):stay=[0.0]
(C, 1, 2, d, 75):stay=[0.0]
(C, 1, 2, d, 100):stay=[0.0]
(C, 1, 2, r, 0):X=[0]
(C, 1, 2, r, 25):sa=[-17.5]
(C, 1, 2, r, 50):stay=[-20.0]
(C, 1, 2, r, 75):stay=[-20.0]
(C, 1, 2, r, 100):stay=[-20.0]
(C, 1, 3, d, 0):X=[0]
(C, 1, 3, d, 25):sa=[15.0]
(C, 1, 3, d, 50):stay=[0.0]
(C, 1, 3, d, 75):stay=[0.0]
(C, 1, 3, d, 100):stay=[0.0]
(C, 1, 3, r, 0):X=[0]
(C, 1, 3, r, 25):sa=[-17.5]
(C, 1, 3, r, 50):stay=[-20.0]
(C, 1, 3, r, 75):stay=[-20.0]
(C, 1, 3, r, 100):stay=[-20.0]
(C, 2, 0, d, 0):X=[0]
(C, 2, 0, d, 25):stay=[0.0]
(C, 2, 0, d, 50):stay=[0.0]
(C, 2, 0, d, 75):stay=[0.0]
(C, 2, 0, d, 100):stay=[0.0]
(C, 2, 0, r, 0):X=[0]
(C, 2, 0, r, 25):stay=[-20.0]
